Token ID,Token Name,Symbol,Listed Date,1st Day Price,2nd Day Price,Price Change 1 Day (%),31st Day Price,Price Change 30 Days (%),1st Day Volume,2nd Day Volume,31st Day Volume,Volume Change 1 Day (%),Volume Change 30 Days (%)
atletico-madrid,Atletico Madrid Fan Token,atm,2020-06-22,4.8572251579018095,4.8572251579018095,0.0,4.099939568506415,-15.590909722672219,182558.8075597395,182558.8075597395,131513.76153898027,0.0,-27.960878307147986
dodo,DODO,dodo,2020-09-30,0.5344227911600844,0.5344227911600844,0.0,0.27428842025451905,-48.67576293684732,15289.164171688906,15289.164171688906,202283.24089845622,0.0,1223.0497012585297
highstreet,Highstreet,high,2021-10-15,5.684114047068732,5.684114047068732,0.0,27.342454569984238,381.03282839802625,6918913.907391755,6918913.907391755,1467958.0925281628,0.0,-78.78340282627474
litentry,Litentry,lit,2021-02-04,3.0403396634781843,3.0403396634781843,0.0,7.68399705830191,152.73482271093775,312334724.715118,312334724.715118,31342784.36886954,0.0,-89.96500168290366
sleepless-ai,Sleepless AI,ai,2024-01-04,1.2281619727493163,1.2281619727493163,0.0,1.172292913390718,-4.548997656516907,463493659.26682115,463493659.26682115,42306323.202235825,0.0,-90.87229731056985
anchor-protocol,Anchor Protocol,anc,2021-03-17,3.4185702540378835,3.4185702540378835,0.0,5.581566023049052,63.27194143388808,8978030.960863288,8978030.960863288,3796853.1561055477,0.0,-57.709511443470696
renzo,Renzo,rez,2024-04-30,0.16018649311256156,0.16018649311256156,0.0,0.14073267678682724,-12.144479817074405,373741386.54483664,373741386.54483664,70401235.89392485,0.0,-81.16311480920805
merit-circle,Merit Circle,mc,2021-11-03,2.8682258432575964,2.8682258432575964,0.0,9.2586479135713,222.80051918979163,26162763.766699642,26162763.766699642,231163074.89842504,0.0,783.5575513342854
cyberconnect,CYBER,cyber,2023-08-15,4.673191847101232,4.673191847101232,0.0,4.942330889362646,5.759212355648535,99396604.99325882,99396604.99325882,38436232.18618424,0.0,-61.33043760519685
wing-finance,Wing Finance,wing,2020-09-16,96.88235712954139,96.88235712954139,0.0,17.55120080282358,-81.88400724049698,103329772.85319883,103329772.85319883,3696174.086345338,0.0,-96.42293408348385
mobox,Mobox,mbox,2021-04-13,3.5884847322884386,3.5884847322884386,0.0,1.2845516355193753,-64.20350840673092,14407688.823497806,14407688.823497806,3363.2766461309307,0.0,-99.97665637641586
unifi-protocol-dao,Unifi Protocol DAO,unfi,2020-11-19,3.983114735895475,3.983114735895475,0.0,9.940835839895929,149.57442853227408,70001540.68096115,70001540.68096115,26802430.937964108,0.0,-61.71165566181065
nfprompt-token,NFPrompt,nfp,2023-12-27,1.1364298637318921,1.1364298637318921,0.0,0.4918960459024252,-56.71567057494418,416402896.7148205,416402896.7148205,18841028.54834648,0.0,-95.4752887895374
hashflow,Hashflow,hft,2022-11-07,1.0234946883273164,1.0234946883273164,0.0,0.48450764651230244,-52.66144006041431,588081879.8181772,588081879.8181772,19865899.53641483,0.0,-96.62191605996142
aevo-exchange,Aevo,aevo,2024-03-13,3.22264744251245,3.22264744251245,0.0,2.4409637055544926,-24.25594952293444,807773453.9475273,807773453.9475273,91028309.96741498,0.0,-88.73096045400271
automata,Automata,ata,2021-06-07,1.4977998086460398,1.4977998086460398,0.0,0.4526546540103704,-69.7786946294542,916850618.062446,916850618.062446,7055314.794834102,0.0,-99.23048371721187
alpha-finance,Stella,alpha,2020-10-10,0.05165201707420418,0.05165201707420418,0.0,0.04912082448576318,-4.90047191149311,49250988.45425818,49250988.45425818,10118598.038583962,0.0,-79.45503561216523
sui,Sui,sui,2023-05-03,1.4005671793178134,1.4005671793178134,0.0,0.9460909620025356,-32.44944077131977,1203334906.8525975,1203334906.8525975,64604991.81030515,0.0,-94.63117113594886
as-roma-fan-token,AS Roma Fan Token,asr,2020-06-22,4.217052198768711,4.217052198768711,0.0,3.1570082893359377,-25.137082954350987,264539.90148095996,264539.90148095996,218041.93451127587,0.0,-17.57692004471799
alien-worlds,Alien Worlds,tlm,2021-04-14,0.727093167024484,0.5686745204083797,-21.787943251400364,0.3627710613638977,-50.10666062940985,918323264.4270046,652558983.5095556,93696018.07681017,-28.940166411146606,-89.79705494717348
bella-protocol,Bella Protocol,bel,2020-09-15,6.3620744984269555,6.3620744984269555,0.0,1.0217489436716198,-83.9400034701849,232704320.9062158,232704320.9062158,2889979.4186729826,0.0,-98.75808948995078
xion-2,XION,xion,2024-12-05,7.9402767858353895,6.202157683425733,-21.889905721048375,5.068242389712259,-36.17045694485783,1421882.814625781,4258807.854851601,108797026.52188976,199.51890627305016,7551.61695484192
paris-saint-germain-fan-token,Paris Saint-Germain Fan Token,psg,2020-06-13,5.468367634301183,5.468367634301183,0.0,4.7417490696898525,-13.287668518361917,400300.9159337495,400300.9159337495,174154.9598315689,0.0,-56.493989171787995
neutron-3,Neutron,ntrn,2023-07-05,0.44033663744465307,0.44033663744465307,0.0,0.3631898702747664,-17.51995192078093,384869.3379549589,384869.3379549589,74577.8579591982,0.0,-80.622551446817
ether-fi,Ether.fi,ethfi,2024-03-18,3.143911273353577,3.143911273353577,0.0,3.8198129348503036,21.49875116468378,368846539.2439854,368846539.2439854,165005216.40187111,0.0,-55.26453447548193
scroll,Scroll,scr,2024-10-22,1.332112872060973,1.3134804253616528,-1.3987138094757046,1.0357733560010247,-22.245826331628173,404792.6282452346,2353810.7248679125,345069868.5152188,481.48557079006605,85146.0851402081
btc-standard-hashrate-token,BTC Standard Hashrate Token,btcst,2021-03-18,52.597277858921736,57.42734279346217,9.183108197150048,77.03762231142562,46.46693792416148,4226245.203723669,17469692.581027318,65378006.401497446,313.3620208698512,1446.9525134011167
santos-fc-fan-token,Santos FC Fan Token,santos,2021-12-01,10.664317692911897,10.664317692911897,0.0,3.5828324446955024,-66.40354734483526,300185719.4183799,300185719.4183799,829412.1015640829,0.0,-99.72370034684825
project-galaxy,Galxe,gal,2022-05-05,17.05740245565055,17.05740245565055,0.0,4.331603427560199,-74.60572652358752,944125166.4398209,944125166.4398209,45674957.649562426,0.0,-95.16219254891838
mines-of-dalarnia,Mines of Dalarnia,dar,2021-11-04,3.321880299113976,3.321880299113976,0.0,2.8481653663901256,-14.260445593123904,1304655895.5162702,1304655895.5162702,110683596.06397378,0.0,-91.51626138015689
benqi,BENQI,qi,2021-08-19,0.06371522958872751,0.06371522958872751,0.0,0.20727537018699616,225.3152684608191,11921168.053717995,11921168.053717995,19790788.190103568,0.0,66.01383439042436
xai-blockchain,Xai,xai,2024-01-09,0.6057180374847909,0.6057180374847909,0.0,0.8735579532319624,44.21858012671394,297709738.67140037,297709738.67140037,47715981.44855016,0.0,-83.97231422072589
io,io.net,io,2024-06-11,4.169179338089456,4.169179338089456,0.0,2.398109953839196,-42.48004800536741,943998709.2543249,943998709.2543249,152323569.74808395,0.0,-83.86400656538969
manta-network,Manta Network,manta,2024-01-18,2.1581555941137074,2.1581555941137074,0.0,2.977262477232447,37.95402358165576,46198167.70975757,46198167.70975757,178983146.45703977,0.0,287.4247731674357
notcoin,Notcoin,not,2024-05-16,0.0074863946442600094,0.0074863946442600094,0.0,0.019756040213449,163.89258317548635,951849879.8880186,951849879.8880186,1470839595.2812076,0.0,54.524324303559936
altlayer,AltLayer,alt,2024-01-26,0.32253188616248574,0.3606458794487854,11.81712411128819,0.5092448788638434,57.8897779450231,603079833.3396472,304529185.75906837,119966010.73164876,-49.50433277254667,-80.1077727856827
maverick-protocol,Maverick Protocol,mav,2023-06-28,0.5190653633135642,0.5190653633135642,0.0,0.3066550673895136,-40.92168557888053,150830569.98846138,150830569.98846138,6922250.9826772325,0.0,-95.41057825134071
kava-lend,Kava Lend,hard,2020-11-06,0.844444152469503,0.844444152469503,0.0,0.7408979284906366,-12.262057079328992,19663226.464189205,19663226.464189205,13616498.104910016,0.0,-30.751455618392686
certik,Shentu,ctk,2020-10-27,1.3655354315207775,1.3655354315207775,0.0,1.1265306542143176,-17.50264195197657,41567464.91758845,41567464.91758845,4311448.373320521,0.0,-89.62782940487618
ethena,Ethena,ena,2024-04-02,0.7872579260548075,0.7872579260548075,0.0,0.7995770922810531,1.5648195868894987,1941471419.2454214,1941471419.2454214,611244904.2363563,0.0,-68.51640986433245
og-fan-token,OG Fan Token,og,2020-06-22,3.045893138456351,3.045893138456351,0.0,2.927591869669208,-3.8839599227403543,248523.55884606903,248523.55884606903,186730.59222311107,0.0,-24.864027744440676
endurance,Fusionist,ace,2023-12-18,13.830410487525741,13.830410487525741,0.0,9.47320262618469,-31.50454475137241,763082110.3056469,763082110.3056469,50033122.481743544,0.0,-93.44328456845842
omni-network,Omni Network,omni,2024-04-17,27.061331092310066,27.061331092310066,0.0,14.252420082053735,-47.332893443280035,596234885.5971364,596234885.5971364,56285199.51807875,0.0,-90.55989495453483
reef,Reef,reef,2020-12-29,0.023733663585965417,0.023733663585965417,0.0,0.018289948777751003,-22.936681429298932,293355440.86368424,293355440.86368424,45013435.63065138,0.0,-84.65566703036944
my-neighbor-alice,My Neighbor Alice,alice,2021-03-15,20.913967088278223,20.913967088278223,0.0,12.772671650749343,-38.927552114643426,2345537171.7728305,2345537171.7728305,61787764.561847,0.0,-97.36573074579987
flamingo-finance,Flamingo Finance,flm,2020-09-28,0.9472061262655475,0.9472061262655475,0.0,0.1929399694417858,-79.63062483532804,93598781.95494485,93598781.95494485,6993309.080105116,0.0,-92.52841871011586
saga-2,Saga,saga,2024-04-09,6.522605364608942,6.522605364608942,0.0,2.8297374836701414,-56.616454231248795,3003790081.2290154,3003790081.2290154,92964236.95085098,0.0,-96.90510207315106
juventus-fan-token,Juventus Fan Token,juv,2020-04-17,2.606973074336719,2.509503503261536,-3.73880236948676,4.89845816150208,87.89830281420814,363660.6475149074,174085.61315314454,143759.95012376303,-52.12965319652621,-60.46865364560241
venus,Venus,xvs,2020-10-06,3.4622277243569464,3.4622277243569464,0.0,2.1632803193122108,-37.517676723185346,108071755.31830867,108071755.31830867,1423596.6071979748,0.0,-98.68273018884075
manchester-city-fan-token,Manchester City Fan Token,city,2021-05-25,22.966325419250097,22.966325419250097,0.0,11.282926635942564,-50.87186813748903,20181268.034633897,20181268.034633897,466977.76760839083,0.0,-97.68608312021331
memecoin-2,Memecoin,meme,2023-11-03,0.02651745070218004,0.02651745070218004,0.0,0.0314856027985083,18.735406175073322,728355275.6914449,728355275.6914449,214345652.52384174,0.0,-70.5712775512804
beam-2,Beam,beam,2023-10-26,0.004795349907457628,0.004795349907457628,0.0,0.008436227660081052,75.92517382227324,4310534.857786878,4310534.857786878,12840299.087441891,0.0,197.88180611151301
radiant-capital,Radiant Capital,rdnt,2022-07-26,0.16043012036946577,0.16043012036946577,0.0,0.123149086160914,-23.238176299247716,6975901.346021815,6975901.346021815,253814.40605004795,0.0,-96.36155396327685
