timestamp,open,high,low,close,volume
2024-11-19,1.59e-07,2.3e-07,1.49e-07,1.87e-07,31665584421.89
2024-11-20,1.87e-07,2.42e-07,1.72e-07,2.11e-07,8155790182.36
2024-11-21,2.11e-07,2.74e-07,2.01e-07,2.74e-07,14149757791.57
2024-11-22,2.74e-07,2.75e-07,2.15e-07,2.26e-07,13459515586.96
2024-11-23,2.26e-07,3e-07,2.18e-07,2.83e-07,33453453333.42
2024-11-24,2.83e-07,2.97e-07,2.46e-07,2.62e-07,22483903022.38
2024-11-25,2.62e-07,2.76e-07,2.47e-07,2.55e-07,15216135366.82
2024-11-26,2.55e-07,2.55e-07,2.16e-07,2.22e-07,10959265914.0
2024-11-27,2.22e-07,2.31e-07,1.87e-07,2.31e-07,17487432238.95
2024-11-28,2.31e-07,2.32e-07,2.14e-07,2.17e-07,4181840338.08
2024-11-29,2.17e-07,2.17e-07,1.88e-07,2.07e-07,11838894839.24
2024-11-30,2.07e-07,2.61e-07,1.85e-07,1.92e-07,20393606768.07
2024-12-01,1.92e-07,2.29e-07,1.92e-07,2.18e-07,10232989284.97
2024-12-02,2.18e-07,2.26e-07,1.7e-07,1.77e-07,21536910541.81
2024-12-03,1.77e-07,1.85e-07,1.58e-07,1.64e-07,20620020730.64
2024-12-04,1.64e-07,2.12e-07,1.62e-07,1.77e-07,26750219972.66
2024-12-05,1.77e-07,1.89e-07,1.64e-07,1.81e-07,7786894003.78
2024-12-06,1.81e-07,2.07e-07,1.81e-07,1.91e-07,10643087969.73
2024-12-07,1.91e-07,2.16e-07,1.91e-07,2.08e-07,11909704269.11
2024-12-08,2.08e-07,2.14e-07,1.99e-07,2.04e-07,6419615696.6
2024-12-09,2.04e-07,2.13e-07,1.92e-07,1.92e-07,6140313002.0
2024-12-10,1.92e-07,2.03e-07,1.91e-07,1.94e-07,2543792488.28
2024-12-11,1.94e-07,2.41e-07,1.34e-07,1.82e-07,19021146646.66
2024-12-12,1.82e-07,2.37e-07,1.76e-07,2.2e-07,5356469214.12
2024-12-13,2.2e-07,2.2e-07,1.5e-07,2.08e-07,7858255437.61
2024-12-14,2.08e-07,2.08e-07,1.9e-07,1.93e-07,2044101985.46
2024-12-15,1.93e-07,2.39e-07,1.93e-07,2.19e-07,12776407951.59
2024-12-16,2.19e-07,2.22e-07,2.08e-07,2.17e-07,5803128092.42
2024-12-17,2.17e-07,2.32e-07,1.81e-07,1.97e-07,5352555529.59
2024-12-18,1.97e-07,2.03e-07,1.97e-07,1.99e-07,103909934.75
