date,price,market_cap,volume,id,symbol,name
2024-11-19 00:00:00,1.8516029016458155,17589549.037252933,8642940.545384869,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-20 00:00:00,1.3357834958158679,13224375.888279818,9206557.941080302,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-21 00:00:00,1.5349896066315445,15286824.858387098,6354046.915969029,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-22 00:00:00,1.2796544542225792,12487931.669707755,4246525.138287352,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-23 00:00:00,1.0356093871797993,10122543.827990122,3501399.2078449605,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-24 00:00:00,0.8287676718078925,8204825.598152012,3617554.074424066,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-25 00:00:00,0.9302424983723427,9220333.404172355,2371824.666645815,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-26 00:00:00,0.7480071156022684,7410024.850071252,4304145.302774094,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-27 00:00:00,0.8388837396494283,8314950.550600443,2297045.452732819,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-28 00:00:00,0.917542668354045,9080066.811166381,1982805.6980069457,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-29 00:00:00,0.7665055748085581,7588292.766584355,1343991.385111852,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-11-30 00:00:00,0.923532416796559,9033962.720893225,153478.80292095288,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-01 00:00:00,0.8427767678072652,8344250.469951361,1501564.5942981227,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-02 00:00:00,0.7649377769695718,7613117.251241862,1261873.4103679513,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-03 00:00:00,0.682147614394373,6677257.178281692,1566010.6741786085,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-04 00:00:00,0.7688661277706673,7611649.251493111,1506540.776597665,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-05 00:00:00,0.9843909546930669,9594283.901617166,1330911.9873153258,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-06 00:00:00,0.7499838412230699,7583029.804080422,1235634.0406094743,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-07 00:00:00,0.7023834187376884,6953470.922427447,913716.9107496591,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-08 00:00:00,0.7715197816468862,7787963.770714467,773222.1689100469,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-09 00:00:00,0.7337682087819759,7256662.220341157,679256.7227151508,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-10 00:00:00,0.5749098894079214,5684535.637492917,979792.2586385688,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-11 00:00:00,0.4973257998436531,4923344.693486088,809593.7223403087,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-12 00:00:00,0.49698857677597824,4942900.372175043,534053.1697379469,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-13 00:00:00,0.48280012872564954,4798871.747873115,571001.4840246025,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-14 00:00:00,0.43907281184626057,4372352.3769742055,650667.3711257023,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-15 00:00:00,0.42145157091155755,4183835.0680939113,471661.16634995834,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-16 00:00:00,0.4355357867122289,4310054.326786077,338335.4346580121,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-17 00:00:00,0.4577522682315074,4485015.536750094,429581.25043995073,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-18 00:00:00,0.37797860911371733,3738099.0721060396,842142.4915633416,department-of-gov-efficiency,doge,Department of Gov Efficiency
2024-12-18 09:49:31,0.369830436061703,3661155.6355768796,787470.4031648652,department-of-gov-efficiency,doge,Department of Gov Efficiency
